,Years,Months,Districts,Amounts_(m3)
337,2018,2,Avcilar,23901925.253
338,2018,3,Avcilar,23049191.054
339,2018,4,Avcilar,11574417.485
340,2018,5,Avcilar,7292112.447
341,2018,6,Avcilar,5288687.331
342,2018,7,Avcilar,5292575.362
343,2018,8,Avcilar,4295544.735
344,2018,9,Avcilar,5318282.771
345,2018,10,Avcilar,7450056.803
346,2018,11,Avcilar,15891572.719
347,2018,12,Avcilar,28836403.89
348,2019,1,Avcilar,31575405.855
349,2019,2,Avcilar,25934956.086
350,2019,3,Avcilar,22693384.15
351,2019,4,Avcilar,16279958.906
352,2019,5,Avcilar,7689532.281
353,2019,6,Avcilar,4873815.782
354,2019,7,Avcilar,5566077.564
355,2019,8,Avcilar,4731219.126
356,2019,9,Avcilar,5572548.042
357,2019,10,Avcilar,6979073.913
358,2019,11,Avcilar,9774974.915
359,2019,12,Avcilar,22387539.225
360,2020,1,Avcilar,30532157.267
361,2020,2,Avcilar,25619037.105
362,2020,3,Avcilar,21792487.948
363,2020,4,Avcilar,14569372.934
364,2020,5,Avcilar,6738993.638
365,2020,6,Avcilar,6029074.809
366,2020,7,Avcilar,5413626.166
367,2020,8,Avcilar,5283359.106
368,2020,9,Avcilar,5718902.777
369,2020,10,Avcilar,6765043.024
370,2020,11,Avcilar,16789921.178
371,2020,12,Avcilar,22394787.176
372,2021,1,Avcilar,25661923.188
373,2021,2,Avcilar,23987142.603
374,2021,3,Avcilar,27257648.302
375,2021,4,Avcilar,18146495.441
376,2021,5,Avcilar,7028307.113
377,2021,6,Avcilar,6548596.398
378,2021,7,Avcilar,5014371.991
379,2021,8,Avcilar,5617745.433
380,2021,9,Avcilar,6137753.547
381,2021,10,Avcilar,9787118.439
382,2021,11,Avcilar,15275934.512
383,2021,12,Avcilar,25209733.906
384,2022,1,Avcilar,31221361.867
385,2022,2,Avcilar,26306381.641
386,2022,3,Avcilar,31604450.608
387,2022,4,Avcilar,13795793.96
388,2022,5,Avcilar,7961106.509
389,2022,6,Avcilar,6061616.687
390,2022,7,Avcilar,4796965.278
391,2022,8,Avcilar,5204378.451
392,2022,9,Avcilar,5704025.338
393,2022,10,Avcilar,7637807.22
394,2022,11,Avcilar,12298243.208
395,2022,12,Avcilar,20811112.33
396,2023,1,Avcilar,23290532.013
397,2023,2,Avcilar,26473697.131
398,2023,3,Avcilar,22997114.175
399,2023,4,Avcilar,13653901.392
400,2015,1,Bagcilar,36124173.038
401,2015,2,Bagcilar,31428012.98
402,2015,3,Bagcilar,29416082.154
403,2015,4,Bagcilar,17963145.34
404,2015,5,Bagcilar,7546302.169
405,2015,6,Bagcilar,6241807.741
406,2015,7,Bagcilar,5308260.698
407,2015,8,Bagcilar,5215675.544
408,2015,9,Bagcilar,5606660.781
409,2015,10,Bagcilar,9379003.372
410,2015,11,Bagcilar,15114777.571
411,2015,12,Bagcilar,30845047.1
412,2016,1,Bagcilar,38771479.839
413,2016,2,Bagcilar,26685618.741
414,2016,3,Bagcilar,24281410.417
415,2016,4,Bagcilar,10063432.406
416,2016,5,Bagcilar,8162145.707
417,2016,6,Bagcilar,6185722.139
418,2016,7,Bagcilar,4925509.693
419,2016,8,Bagcilar,5716968.965
420,2016,9,Bagcilar,5646382.685
421,2016,10,Bagcilar,10579632.402
422,2016,11,Bagcilar,22950116.629
423,2016,12,Bagcilar,41199911.175
424,2017,1,Bagcilar,48616656.595
425,2017,2,Bagcilar,36536638.233
426,2017,3,Bagcilar,29651312.078
427,2017,4,Bagcilar,18891490.359
428,2017,5,Bagcilar,9136500.976
429,2017,6,Bagcilar,6087678.951
430,2017,7,Bagcilar,5743594.007
431,2017,8,Bagcilar,5743265.106
432,2017,9,Bagcilar,5839356.608
433,2017,10,Bagcilar,10452131.641
434,2017,11,Bagcilar,21928210.281
435,2017,12,Bagcilar,27224001.988
436,2018,1,Bagcilar,42063628.45
437,2018,2,Bagcilar,33571570.21
438,2018,3,Bagcilar,31395577.49
439,2018,4,Bagcilar,14792493.792
440,2018,5,Bagcilar,8809737.436
441,2018,6,Bagcilar,6142618.679
442,2018,7,Bagcilar,6008523.988
443,2018,8,Bagcilar,5098560.151
444,2018,9,Bagcilar,6423060.452
445,2018,10,Bagcilar,9354891.434
446,2018,11,Bagcilar,21385683.288
447,2018,12,Bagcilar,41133804.21
448,2019,1,Bagcilar,44821679.947
449,2019,2,Bagcilar,36188127.449
450,2019,3,Bagcilar,31204570.099
451,2019,4,Bagcilar,21912313.517
452,2019,5,Bagcilar,9610234.81099999
453,2019,6,Bagcilar,5891157.539
454,2019,7,Bagcilar,6484281.008
455,2019,8,Bagcilar,5647874.53
456,2019,9,Bagcilar,6612222.152
